"RefSeq.accession.number","Gene.Name","ensembl_gene_id"
"NM_002114","HIVEP1 ","ENSG00000095951"
"NM_002128","HMGB1 ","ENSG00000189403"
"NM_002134","HMOX2 ","ENSG00000103415"
"NM_002134","HMOX2 ","ENSG00000277424"
"NM_002137","HNRNPA2B1 ","ENSG00000122566"
"NM_002138","HNRNPD ","ENSG00000138668"
"NM_002139","RBMX ","ENSG00000147274"
"NM_002140","HNRNPK ","ENSG00000165119"
"NM_002154","HSPA4 ","ENSG00000170606"
"NM_002161","IARS ","ENSG00000291356"
"NM_002161","IARS ","ENSG00000196305"
"NM_002184","IL6ST ","ENSG00000134352"
"NM_002211","ITGB1 ","ENSG00000150093"
"NM_002212","EIF6 ","ENSG00000242372"
"NM_002227","JAK1 ","ENSG00000162434"
"NM_002231","CD82 ","ENSG00000085117"
"NM_002264","KPNA1 ","ENSG00000114030"
"NM_002265","KPNB1 ","ENSG00000108424"
"NM_002270","TNPO1 ","ENSG00000083312"
"NM_002294","LAMP2 ","ENSG00000005893"
"NM_002311","LIG3 ","ENSG00000005156"
"NM_002312","LIG4 ","ENSG00000174405"
"NM_002337","LRPAP1 ","ENSG00000163956"
"NM_002340","LSS ","ENSG00000160285"
"NM_002340","LSS ","ENSG00000281289"
"NM_002355","M6PR ","ENSG00000003056"
"NM_002370","MAGOH ","ENSG00000162385"
"NM_002376","MARK3 ","ENSG00000075413"
"NM_002382","MAX ","ENSG00000125952"
"NM_002383","MAZ ","ENSG00000103495"
"NM_002384","MBD1 ","ENSG00000141644"
"NM_002396","ME2 ","ENSG00000082212"
"NM_002408","MGAT2 ","ENSG00000168282"
"NM_002412","MGMT ","ENSG00000170430"
"NM_002415","MIF ","ENSG00000240972"
"NM_002415","MIF ","ENSG00000276701"
"NM_002431","MNAT1 ","ENSG00000020426"
"NM_002434","MPG ","ENSG00000103152"
"NM_002435","MPI ","ENSG00000178802"
"NM_002439","MSH3 ","ENSG00000113318"
"NM_002454","MTRR ","ENSG00000124275"
"NM_002461","MVD ","ENSG00000167508"
"NM_002484","NUBP1 ","ENSG00000103274"
"NM_002485","NBN ","ENSG00000104320"
"NM_002488","NDUFA2 ","ENSG00000131495"
"NM_002489","NDUFA4 ","ENSG00000189043"
"NM_002490","NDUFA6 ","ENSG00000184983"
"NM_002490","NDUFA6 ","ENSG00000281013"
"NM_002490","NDUFA6 ","ENSG00000272765"
"NM_002490","NDUFA6 ","ENSG00000277365"
"NM_002490","NDUFA6 ","ENSG00000273397"
"NM_002491","NDUFB3 ","ENSG00000119013"
"NM_002492","NDUFB5 ","ENSG00000136521"
"NM_002493","NDUFB6 ","ENSG00000165264"
"NM_002494","NDUFC1 ","ENSG00000109390"
"NM_002495","NDUFS4 ","ENSG00000164258"
"NM_002496","NDUFS8 ","ENSG00000110717"
"NM_002503","NFKBIB ","ENSG00000282905"
"NM_002503","NFKBIB ","ENSG00000104825"
"NM_002504","NFX1 ","ENSG00000086102"
"NM_002512","NME2 ","ENSG00000243678"
"NM_002513","NME3 ","ENSG00000103024"
"NM_002537","OAZ2 ","ENSG00000180304"
"NM_002539","ODC1 ","ENSG00000115758"
"NM_002552","ORC4 ","ENSG00000115947"
"NM_002556","OSBP ","ENSG00000110048"
"NM_002567","PEBP1 ","ENSG00000089220"
"NM_002574","PRDX1 ","ENSG00000117450"
"NM_002577","PAK2 ","ENSG00000180370"
"NM_002582","PARN ","ENSG00000140694"
"NM_002582","PARN ","ENSG00000274829"
"NM_002586","PBX2 ","ENSG00000204304"
"NM_002586","PBX2 ","ENSG00000236353"
"NM_002586","PBX2 ","ENSG00000237344"
"NM_002586","PBX2 ","ENSG00000224952"
"NM_002586","PBX2 ","ENSG00000232005"
"NM_002586","PBX2 ","ENSG00000206315"
"NM_002586","PBX2 ","ENSG00000225987"
"NM_002592","PCNA ","ENSG00000132646"
"NM_002598","PDCD2 ","ENSG00000071994"
"NM_002601","PDE6D ","ENSG00000156973"
"NM_002618","PEX13 ","ENSG00000162928"
"NM_002623","PFDN4 ","ENSG00000101132"
"NM_002624","PFDN5 ","ENSG00000123349"
"NM_002624","PFDN5 ","ENSG00000291834"
"NM_002634","PHB ","ENSG00000167085"
"NM_002635","SLC25A3 ","ENSG00000075415"
"NM_002642","PIGC ","ENSG00000135845"
"NM_002643","PIGF ","ENSG00000151665"
"NM_002647","PIK3C3 ","ENSG00000078142"
"NM_002650","PI4KA ",NA
"NM_002651","PI4KB ","ENSG00000143393"
"NM_002669","PLRG1 ","ENSG00000171566"
"NM_002685","EXOSC10 ","ENSG00000171824"
"NM_002687","PNN ","ENSG00000100941"
"NM_002693","POLG ","ENSG00000140521"
"NM_002695","POLR2E ","ENSG00000099817"
"NM_002696","POLR2G ","ENSG00000168002"
"NM_002706","PPM1B ","ENSG00000138032"
"NM_002708","PPP1CA ","ENSG00000172531"
"NM_002710","PPP1CC ","ENSG00000186298"
"NM_002712","PPP1R7 ","ENSG00000115685"
"NM_002713","PPP1R8 ","ENSG00000117751"
"NM_002714","PPP1R10 ","ENSG00000227804"
"NM_002714","PPP1R10 ","ENSG00000238104"
"NM_002714","PPP1R10 ","ENSG00000231737"
"NM_002714","PPP1R10 ","ENSG00000235291"
"NM_002714","PPP1R10 ","ENSG00000204569"
"NM_002714","PPP1R10 ","ENSG00000206489"
"NM_002714","PPP1R10 ","ENSG00000230995"
"NM_002715","PPP2CA ","ENSG00000113575"
"NM_002717","PPP2R2A ","ENSG00000221914"
"NM_002719","PPP2R5C ","ENSG00000078304"
"NM_002720","PPP4C ","ENSG00000149923"
"NM_002721","PPP6C ","ENSG00000119414"
"NM_002726","PREP ","ENSG00000085377"
"NM_002730","PRKACA ","ENSG00000288516"
"NM_002730","PRKACA ","ENSG00000072062"
"NM_002733","PRKAG1 ","ENSG00000181929"
"NM_002734","PRKAR1A ","ENSG00000108946"
"NM_002745","MAPK1 ","ENSG00000100030"
"NM_002748","MAPK6 ","ENSG00000069956"
"NM_002750","MAPK8 ",NA
"NM_002752","MAPK9 ","ENSG00000050748"
"NM_002755","MAP2K1 ","ENSG00000169032"
"NM_002757","MAP2K5 ","ENSG00000137764"
"NM_002764","PRPS1 ","ENSG00000147224"
"NM_002766","PRPSAP1 ","ENSG00000161542"
"NM_002768","CHMP1A ","ENSG00000131165"
"NM_002786","PSMA1 ","ENSG00000129084"
"NM_002787","PSMA2 ","ENSG00000106588"
"NM_002788","PSMA3 ","ENSG00000100567"
"NM_002789","PSMA4 ","ENSG00000041357"
"NM_002790","PSMA5 ","ENSG00000143106"
"NM_002791","PSMA6 ","ENSG00000100902"
"NM_002792","PSMA7 ","ENSG00000101182"
"NM_002793","PSMB1 ","ENSG00000008018"
"NM_002794","PSMB2 ","ENSG00000126067"
"NM_002795","PSMB3 ","ENSG00000277791"
"NM_002795","PSMB3 ","ENSG00000275903"
"NM_002796","PSMB4 ","ENSG00000159377"
"NM_002797","PSMB5 ","ENSG00000100804"
"NM_002798","PSMB6 ","ENSG00000142507"
"NM_002799","PSMB7 ","ENSG00000136930"
"NM_002803","PSMC2 ","ENSG00000161057"
"NM_002804","PSMC3 ","ENSG00000165916"
"NM_002805","PSMC5 ","ENSG00000087191"
"NM_002806","PSMC6 ","ENSG00000100519"
"NM_002807","PSMD1 ","ENSG00000173692"
"NM_002808","PSMD2 ","ENSG00000175166"
"NM_002809","PSMD3 ","ENSG00000108344"
"NM_002810","PSMD4 ","ENSG00000159352"
"NM_002811","PSMD7 ","ENSG00000103035"
"NM_002812","PSMD8 ","ENSG00000099341"
"NM_002813","PSMD9 ","ENSG00000110801"
"NM_002814","PSMD10 ","ENSG00000101843"
"NM_002815","PSMD11 ","ENSG00000108671"
"NM_002816","PSMD12 ","ENSG00000197170"
"NM_002817","PSMD13 ","ENSG00000185627"
"NM_002826","QSOX1 ","ENSG00000116260"
"NM_002827","PTPN1 ","ENSG00000196396"
"NM_002834","PTPN11 ","ENSG00000179295"
"NM_002853","RAD1 ","ENSG00000113456"
"NM_002857","PEX19 ","ENSG00000162735"
"NM_002858","ABCD3 ","ENSG00000117528"
"NM_002865","RAB2A ","ENSG00000104388"
"NM_002868","RAB5B ","ENSG00000111540"
"NM_002869","RAB6A ","ENSG00000175582"
"NM_002873","RAD17 ","ENSG00000276618"
"NM_002873","RAD17 ","ENSG00000152942"
"NM_002874","RAD23B ","ENSG00000119318"
"NM_002876","RAD51C ","ENSG00000108384"
"NM_002880","RAF1 ","ENSG00000132155"
"NM_002882","RANBP1 ","ENSG00000099901"
"NM_002883","RANGAP1 ","ENSG00000100401"
"NM_002884","RAP1A ","ENSG00000116473"
"NM_002887","RARS ","ENSG00000113643"
"NM_002893","RBBP7 ","ENSG00000102054"
"NM_002896","RBM4 ","ENSG00000173933"
"NM_002902","RCN2 ","ENSG00000117906"
"NM_002904","NELFE ","ENSG00000233801"
"NM_002904","NELFE ","ENSG00000231044"
"NM_002904","NELFE ","ENSG00000229363"
"NM_002904","NELFE ","ENSG00000204356"
"NM_002904","NELFE ","ENSG00000206268"
"NM_002904","NELFE ","ENSG00000206357"
"NM_002906","RDX ","ENSG00000137710"
"NM_002911","UPF1 ","ENSG00000005007"
"NM_002913","RFC1 ","ENSG00000035928"
"NM_002914","RFC2 ","ENSG00000049541"
"NM_002917","RFNG ","ENSG00000169733"
"NM_002931","RING1 ","ENSG00000228520"
"NM_002931","RING1 ","ENSG00000206287"
"NM_002931","RING1 ","ENSG00000235107"
"NM_002931","RING1 ","ENSG00000226788"
"NM_002931","RING1 ","ENSG00000204227"
"NM_002931","RING1 ","ENSG00000231115"
"NM_002936","RNASEH1 ","ENSG00000171865"
"NM_002938","RNF4 ","ENSG00000063978"
"NM_002939","RNH1 ","ENSG00000023191"
"NM_002939","RNH1 ","ENSG00000276230"
"NM_002940","ABCE1 ","ENSG00000164163"
"NM_002946","RPA2 ","ENSG00000117748"
"NM_002947","RPA3 ","ENSG00000106399"
"NM_002949","MRPL12 ","ENSG00000262814"
"NM_002950","RPN1 ","ENSG00000163902"
"NM_002951","RPN2 ","ENSG00000291973"
"NM_002951","RPN2 ","ENSG00000118705"
"NM_002957","RXRA ","ENSG00000186350"
"NM_002973","ATXN2 ","ENSG00000204842"
"NM_003000","SDHB ","ENSG00000117118"
"NM_003001","SDHC ","ENSG00000143252"
"NM_003002","SDHD ","ENSG00000204370"
"NM_003011","SET ","ENSG00000119335"
"NM_003016","SRSF2 ","ENSG00000161547"
"NM_003017","SRSF3 ","ENSG00000112081"
"NM_003021","SGTA ","ENSG00000104969"
"NM_003031","SIAH1 ","ENSG00000196470"
"NM_003070","SMARCA2 ","ENSG00000080503"
"NM_003072","SMARCA4 ","ENSG00000127616"
"NM_003073","SMARCB1 ","ENSG00000275837"
"NM_003073","SMARCB1 ","ENSG00000099956"
"NM_003079","SMARCE1 ","ENSG00000073584"
"NM_003089","SNRNP70 ","ENSG00000104852"
"NM_003091","SNRPB ","ENSG00000125835"
"NM_003092","SNRPB2 ","ENSG00000125870"
"NM_003093","SNRPC ","ENSG00000124562"
"NM_003096","SNRPG ","ENSG00000143977"
"NM_003100","SNX2 ","ENSG00000205302"
"NM_003115","UAP1 ","ENSG00000117143"
"NM_003119","SPG7 ","ENSG00000197912"
"NM_003132","SRM ","ENSG00000116649"
"NM_003133","SRP9 ","ENSG00000143742"
"NM_003134","SRP14 ","ENSG00000140319"
"NM_003135","SRP19 ","ENSG00000153037"
"NM_003136","SRP54 ","ENSG00000100883"
"NM_003139","SRPR ","ENSG00000182934"
"NM_003142","SSB ","ENSG00000138385"
"NM_003143","SSBP1 ","ENSG00000262771"
"NM_003143","SSBP1 ","ENSG00000106028"
"NM_003144","SSR1 ","ENSG00000124783"
"NM_003145","SSR2 ","ENSG00000163479"
"NM_003146","SSRP1 ","ENSG00000149136"
"NM_003150","STAT3 ","ENSG00000168610"
"NM_003156","STIM1 ","ENSG00000167323"
"NM_003157","NEK4 ","ENSG00000114904"
"NM_003161","RPS6KB1 ","ENSG00000108443"
"NM_003164","STX5 ","ENSG00000162236"
"NM_003168","SUPT4H1 ","ENSG00000213246"
"NM_003169","SUPT5H ","ENSG00000196235"
"NM_003170","SUPT6H ","ENSG00000109111"
"NM_003171","SUPV3L1 ","ENSG00000156502"
"NM_003172","SURF1 ","ENSG00000280627"
"NM_003172","SURF1 ","ENSG00000148290"
"NM_003185","TAF4 ","ENSG00000280529"
"NM_003185","TAF4 ","ENSG00000130699"
"NM_003187","TAF9 ","ENSG00000276463"
"NM_003187","TAF9 ","ENSG00000273841"
"NM_003188","MAP3K7 ","ENSG00000135341"
"NM_003190","TAPBP ","ENSG00000236490"
"NM_003190","TAPBP ","ENSG00000112493"
"NM_003190","TAPBP ","ENSG00000206208"
"NM_003190","TAPBP ","ENSG00000206281"
"NM_003190","TAPBP ","ENSG00000231925"
"NM_003192","TBCC ","ENSG00000124659"
"NM_003193","TBCE ","ENSG00000284770"
"NM_003198","TCEB3 ","ENSG00000011007"
"NM_003201","TFAM ","ENSG00000108064"
"NM_003216","TEF ","ENSG00000167074"
"NM_003217","TMBIM6 ","ENSG00000139644"
"NM_003224","ARFRP1 ","ENSG00000101246"
"NM_003249","THOP1 ","ENSG00000172009"
"NM_003252","TIAL1 ","ENSG00000151923"
"NM_003262","SEC62 ","ENSG00000008952"
"NM_003274","TRAPPC10 ","ENSG00000160218"
"NM_003286","TOP1 ","ENSG00000198900"
"NM_003288","TPD52L2 ","ENSG00000101150"
"NM_003291","TPP2 ","ENSG00000134900"
"NM_003297","NR2C1 ","ENSG00000120798"
"NM_003309","TSPYL1 ","ENSG00000189241"
"NM_003313","TSTA3 ","ENSG00000278243"
"NM_003313","TSTA3 ","ENSG00000104522"
"NM_003314","TTC1 ","ENSG00000113312"
"NM_003315","DNAJC7 ","ENSG00000168259"
"NM_003321","TUFM ","ENSG00000178952"
"NM_003330","TXNRD1 ","ENSG00000198431"
"NM_003331","TYK2 ","ENSG00000105397"
"NM_003333","UBA52 ","ENSG00000221983"
"NM_003334","UBA1 ","ENSG00000130985"
"NM_003336","UBE2A ","ENSG00000077721"
"NM_003337","UBE2B ","ENSG00000119048"
"NM_003339","UBE2D2 ","ENSG00000131508"
"NM_003340","UBE2D3 ","ENSG00000109332"
"NM_003341","UBE2E1 ","ENSG00000170142"
"NM_003343","UBE2G2 ","ENSG00000184787"
"NM_003344","UBE2H ","ENSG00000186591"
"NM_003345","UBE2I ","ENSG00000103275"
"NM_003347","UBE2L3 ","ENSG00000185651"
"NM_003348","UBE2N ","ENSG00000177889"
"NM_003350","UBE2V2 ","ENSG00000169139"
"NM_003352","SUMO1 ","ENSG00000116030"
"NM_003362","UNG ","ENSG00000076248"
"NM_003363","USP4 ","ENSG00000114316"
"NM_003365","UQCRC1 ","ENSG00000010256"
"NM_003366","UQCRC2 ","ENSG00000140740"
"NM_003367","USF2 ","ENSG00000105698"
"NM_003372","VBP1 ","ENSG00000155959"
"NM_003400","XPO1 ","ENSG00000082898"
"NM_003403","YY1 ","ENSG00000100811"
"NM_003404","YWHAB ","ENSG00000166913"
"NM_003409","ZBTB14 ","ENSG00000198081"
"NM_003416","ZNF7 ","ENSG00000147789"
"NM_003418","CNBP ","ENSG00000169714"
"NM_003421","ZNF37A ","ENSG00000075407"
"NM_003422","MZF1 ","ENSG00000099326"
"NM_003427","ZNF76 ","ENSG00000065029"
"NM_003430","ZNF91 ","ENSG00000167232"
"NM_003432","ZNF131 ","ENSG00000172262"
"NM_003435","ZNF134 ","ENSG00000213762"
"NM_003439","ZKSCAN1 ","ENSG00000106261"
"NM_003442","ZNF143 ","ENSG00000166478"
"NM_003443","ZBTB17 ","ENSG00000116809"
"NM_003449","TRIM26 ","ENSG00000231641"
"NM_003449","TRIM26 ","ENSG00000228881"
"NM_003449","TRIM26 ","ENSG00000231002"
"NM_003449","TRIM26 ","ENSG00000226060"
"NM_003449","TRIM26 ","ENSG00000230230"
"NM_003449","TRIM26 ","ENSG00000234046"
"NM_003449","TRIM26 ","ENSG00000234127"
"NM_003449","TRIM26 ","ENSG00000137313"
"NM_003450","ZNF174 ","ENSG00000103343"
"NM_003453","ZMYM2 ","ENSG00000121741"
"NM_003457","ZNF207 ","ENSG00000010244"
"NM_003470","USP7 ","ENSG00000187555"
"NM_003472","DEK ","ENSG00000124795"
"NM_003473","STAM ","ENSG00000136738"
"NM_003477","PDHX ","ENSG00000110435"
"NM_003478","CUL5 ","ENSG00000166266"
"NM_003481","USP5 ","ENSG00000111667"
"NM_003487","TAF15 ","ENSG00000276833"
"NM_003487","TAF15 ","ENSG00000270647"
"NM_003489","NRIP1 ","ENSG00000180530"
"NM_003491","NAA10 ","ENSG00000102030"
"NM_003492","TMEM187 ","ENSG00000177854"
"NM_003501","ACOX3 ","ENSG00000087008"
"NM_003502","AXIN1 ","ENSG00000103126"
"NM_003526","HIST1H2BC ","ENSG00000180596"
"NM_003557","PIP5K1A ","ENSG00000143398"
"NM_003562","SLC25A11 ","ENSG00000108528"
"NM_003563","SPOP ","ENSG00000121067"
"NM_003565","ULK1 ","ENSG00000177169"
"NM_003574","VAPA ","ENSG00000101558"
"NM_003584","DUSP11 ","ENSG00000291483"
"NM_003584","DUSP11 ","ENSG00000144048"
"NM_003587","DHX16 ","ENSG00000227222"
"NM_003587","DHX16 ","ENSG00000233418"
"NM_003587","DHX16 ","ENSG00000226171"
"NM_003587","DHX16 ","ENSG00000204560"
"NM_003587","DHX16 ","ENSG00000206486"
"NM_003587","DHX16 ","ENSG00000233049"
"NM_003587","DHX16 ","ENSG00000233561"
"NM_003587","DHX16 ","ENSG00000231377"
"NM_003588","CUL4B ","ENSG00000158290"
"NM_003589","CUL4A ","ENSG00000139842"
"NM_003591","CUL2 ","ENSG00000108094"
"NM_003592","CUL1 ","ENSG00000055130"
"NM_003595","TPST2 ","ENSG00000128294"
"NM_003624","RANBP3 ","ENSG00000031823"
"NM_003626","PPFIA1 ","ENSG00000131626"
"NM_003626","PPFIA1 ","ENSG00000288198"
"NM_003642","HAT1 ","ENSG00000128708"
"NM_003642","HAT1 ","ENSG00000292096"
"NM_003653","COPS3 ","ENSG00000141030"
"NM_003659","AGPS ","ENSG00000018510"
"NM_003663","CGGBP1 ","ENSG00000163320"
"NM_003664","AP3B1 ","ENSG00000132842"
"NM_003666","BLZF1 ","ENSG00000117475"
"NM_003668","MAPKAPK5 ","ENSG00000089022"
"NM_003675","PRPF18 ","ENSG00000165630"
"NM_003676","DEGS1 ","ENSG00000143753"
"NM_003677","DENR ","ENSG00000139726"
"NM_003678","THOC5 ","ENSG00000100296"
"NM_003680","YARS ","ENSG00000134684"
"NM_003683","RRP1 ","ENSG00000160214"
"NM_003684","MKNK1 ","ENSG00000079277"
"NM_003685","KHSRP ","ENSG00000088247"
"NM_003689","AKR7A2 ","ENSG00000053371"
"NM_003703","NOP14 ","ENSG00000087269"
"NM_003707","RUVBL1 ","ENSG00000175792"
"NM_003718","CDK13 ","ENSG00000065883"
"NM_003721","RFXANK ","ENSG00000064490"
"NM_003729","RTCA ","ENSG00000137996"
"NM_003731","SSNA1 ","ENSG00000176101"
"NM_003743","NCOA1 ","ENSG00000084676"
"NM_003750","EIF3A ","ENSG00000107581"
"NM_003751","EIF3B ","ENSG00000106263"
"NM_003753","EIF3D ","ENSG00000100353"
"NM_003755","EIF3G ","ENSG00000130811"
"NM_003756","EIF3H ","ENSG00000147677"
"NM_003757","EIF3I ","ENSG00000084623"
"NM_003758","EIF3J ","ENSG00000104131"
"NM_003760","EIF4G3 ","ENSG00000075151"
"NM_003765","STX10 ","ENSG00000104915"
"NM_003766","BECN1 ","ENSG00000126581"
"NM_003776","MRPL40 ","ENSG00000185608"
"NM_003779","B4GALT3 ","ENSG00000158850"
"NM_003791","MBTPS1 ","ENSG00000140943"
"NM_003792","EDF1 ","ENSG00000107223"
"NM_003794","SNX4 ","ENSG00000114520"
"NM_003795","SNX3 ","ENSG00000112335"
"NM_003796","URI1 ","ENSG00000105176"
"NM_003797","EED ","ENSG00000074266"
"NM_003801","GPAA1 ","ENSG00000197858"
"NM_003804","RIPK1 ","ENSG00000137275"
"NM_003805","CRADD ","ENSG00000169372"
"NM_003818","CDS2 ","ENSG00000101290"
"NM_003824","FADD ","ENSG00000168040"
"NM_003825","SNAP23 ","ENSG00000092531"
"NM_003827","NAPA ","ENSG00000105402"
"NM_003828","MTMR1 ","ENSG00000063601"
"NM_003831","RIOK3 ","ENSG00000101782"
"NM_003838","FPGT ","ENSG00000254685"
"NM_003846","PEX11B ","ENSG00000131779"
"NM_003848","SUCLG2 ","ENSG00000172340"
"NM_003849","SUCLG1 ","ENSG00000163541"
"NM_003850","SUCLA2 ","ENSG00000136143"
"NM_003851","CREG1 ","ENSG00000143162"
"NM_003859","DPM1 ","ENSG00000000419"
"NM_003860","BANF1 ","ENSG00000175334"
"NM_003861","DCAF5 ","ENSG00000139990"
"NM_003864","SAP30 ","ENSG00000164105"
"NM_003883","HDAC3 ","ENSG00000171720"
"NM_003884","KAT2B ","ENSG00000114166"
"NM_003901","SGPL1 ","ENSG00000166224"
"NM_003902","FUBP1 ","ENSG00000162613"
"NM_003903","CDC16 ","ENSG00000130177"
"NM_003904","ZNF259 ","ENSG00000109917"
"NM_003905","NAE1 ","ENSG00000159593"
"NM_003906","MCM3AP ","ENSG00000160294"
"NM_003907","EIF2B5 ","ENSG00000145191"
"NM_003908","EIF2S2 ","ENSG00000125977"
"NM_003909","CPNE3 ","ENSG00000085719"
"NM_003913","PRPF4B ","ENSG00000112739"
"NM_003915","CPNE1 ","ENSG00000214078"
"NM_003925","MBD4 ","ENSG00000129071"
"NM_003926","MBD3 ",NA
"NM_003927","MBD2 ","ENSG00000134046"
"NM_003938","AP3D1 ","ENSG00000065000"
"NM_003945","ATP6V0E1 ","ENSG00000113732"
"NM_003952","RPS6KB2 ","ENSG00000175634"
"NM_003968","UBA3 ","ENSG00000144744"
"NM_003969","UBE2M ","ENSG00000130725"
"NM_003971","SPAG9 ","ENSG00000008294"
"NM_003973","RPL14 ","ENSG00000188846"
"NM_003977","AIP ","ENSG00000110711"
"NM_003992","CLK3 ","ENSG00000179335"
"NM_004035","ACOX1 ","ENSG00000161533"
"NM_004040","RHOB ","ENSG00000143878"
"NM_004044","ATIC ","ENSG00000138363"
"NM_004045","ATOX1 ","ENSG00000177556"
"NM_004046","ATP5A1 ","ENSG00000152234"
"NM_004047","ATP6V0B ","ENSG00000117410"
"NM_004060","CCNG1 ","ENSG00000113328"
"NM_004068","AP2M1 ","ENSG00000161203"
"NM_004069","AP2S1 ","ENSG00000042753"
"NM_004074","COX8A ","ENSG00000176340"
"NM_004087","DLG1 ","ENSG00000075711"
"NM_004092","ECHS1 ","ENSG00000127884"
"NM_004094","EIF2S1 ","ENSG00000134001"
"NM_004099","STOM ","ENSG00000148175"
"NM_004109","FDX1 ","ENSG00000137714"
"NM_004111","FEN1 ","ENSG00000168496"
"NM_004127","GPS1 ","ENSG00000169727"
"NM_004128","GTF2F2 ","ENSG00000188342"
"NM_004134","HSPA9 ","ENSG00000113013"
"NM_004135","IDH3G ","ENSG00000067829"
"NM_004136","IREB2 ","ENSG00000136381"
"NM_004146","NDUFB7 ","ENSG00000099795"
"NM_004148","NINJ1 ","ENSG00000131669"
"NM_004152","OAZ1 ","ENSG00000104904"
"NM_004161","RAB1A ","ENSG00000138069"
"NM_004162","RAB5A ","ENSG00000144566"
"NM_004168","SDHA ","ENSG00000073578"
"NM_004175","SNRPD3 ","ENSG00000100028"
"NM_004180","TANK ","ENSG00000136560"
"NM_004182","UXT ","ENSG00000126756"
"NM_004187","KDM5C ","ENSG00000126012"
"NM_004193","GBF1 ","ENSG00000107862"
"NM_004206","SEC22C ","ENSG00000093183"
"NM_004214","FIBP ","ENSG00000172500"
"NM_004215","EBAG9 ","ENSG00000147654"
"NM_004218","RAB11B ","ENSG00000185236"
"NM_004229","MED14 ","ENSG00000180182"
"NM_004231","ATP6V1F ","ENSG00000128524"
"NM_004232","SOCS6 ","ENSG00000170677"
"NM_004236","COPS2 ","ENSG00000166200"
"NM_004238","TRIP12 ","ENSG00000153827"
"NM_004242","HMGN3 ","ENSG00000118418"
"NM_004247","EFTUD2 ","ENSG00000108883"
"NM_004251","RAB9A ","ENSG00000123595"
"NM_004264","MED21 ","ENSG00000152944"
"NM_004270","MED7 ","ENSG00000155868"
"NM_004275","MED20 ","ENSG00000124641"
"NM_004279","PMPCB ","ENSG00000105819"
"NM_004280","EEF1E1 ","ENSG00000124802"
"NM_004284","CHD1L ","ENSG00000131778"
"NM_004287","GOSR2 ","ENSG00000108433"
"NM_004290","RNF14 ","ENSG00000013561"
"NM_004299","ABCB7 ","ENSG00000131269"
"NM_004300","ACP1 ","ENSG00000143727"
"NM_004302","ACVR1B ","ENSG00000135503"
"NM_004309","ARHGDIA ","ENSG00000141522"
"NM_004317","ASNA1 ","ENSG00000198356"
"NM_004322","BAD ","ENSG00000002330"
"NM_004323","BAG1 ","ENSG00000107262"
"NM_004328","BCS1L ","ENSG00000074582"
"NM_004330","BNIP2 ","ENSG00000140299"
"NM_004337","OSGIN2 ","ENSG00000164823"
"NM_004343","CALR ","ENSG00000179218"
"NM_004346","CASP3 ","ENSG00000164305"
"NM_004356","CD81 ","ENSG00000110651"
"NM_004371","COPA ","ENSG00000122218"
"NM_004374","COX6C ","ENSG00000164919"
"NM_004375","COX11 ","ENSG00000166260"
"NM_004376","COX15 ","ENSG00000014919"
"NM_004384","CSNK1G3 ","ENSG00000151292"
"NM_004393","DAG1 ","ENSG00000173402"
"NM_004398","DDX10 ","ENSG00000178105"
"NM_004401","DFFA ","ENSG00000160049"
"NM_004414","RCAN1 ","ENSG00000159200"
"NM_004423","DVL3 ","ENSG00000161202"
"NM_004424","E4F1 ","ENSG00000167967"
"NM_004427","PHC2 ","ENSG00000134686"
"NM_004435","ENDOG ","ENSG00000167136"
"NM_004436","ENSA ","ENSG00000143420"
"NM_004446","EPRS ","ENSG00000136628"
"NM_004450","ERH ","ENSG00000100632"
"NM_004457","ACSL3 ","ENSG00000123983"
"NM_004459","BPTF ","ENSG00000171634"
"NM_004461","FARSA ","ENSG00000179115"
"NM_004462","FDFT1 ","ENSG00000079459"
"NM_004462","FDFT1 ","ENSG00000284967"
"NM_004475","FLOT2 ","ENSG00000132589"
"NM_004481","GALNT2 ","ENSG00000143641"
"NM_004486","GOLGA2 ","ENSG00000167110"
"NM_004487","GOLGB1 ","ENSG00000173230"
"NM_004489","GPS2 ","ENSG00000132522"
"NM_004489","GPS2 ","ENSG00000288325"
"NM_004491","ARHGAP35 ","ENSG00000160007"
"NM_004493","HSD17B10 ","ENSG00000072506"
"NM_004494","HDGF ","ENSG00000143321"
"NM_004499","HNRNPAB ","ENSG00000197451"
"NM_004500","HNRNPC ","ENSG00000092199"
"NM_004501","HNRNPU ","ENSG00000153187"
"NM_004504","AGFG1 ","ENSG00000173744"
"NM_004507","HUS1 ","ENSG00000136273"
"NM_004508","IDI1 ","ENSG00000067064"
"NM_004514","FOXK2 ","ENSG00000141568"
"NM_004515","ILF2 ","ENSG00000143621"
"NM_004528","MGST3 ","ENSG00000143198"
"NM_004539","NARS ","ENSG00000134440"
"NM_004542","NDUFA3 ","ENSG00000275724"
"NM_004542","NDUFA3 ","ENSG00000276220"
"NM_004542","NDUFA3 ","ENSG00000274359"
"NM_004542","NDUFA3 ","ENSG00000273642"
"NM_004542","NDUFA3 ","ENSG00000278365"
"NM_004542","NDUFA3 ","ENSG00000276061"
"NM_004542","NDUFA3 ","ENSG00000170906"
"NM_004542","NDUFA3 ","ENSG00000276766"
"NM_004542","NDUFA3 ","ENSG00000275605"
"NM_004542","NDUFA3 ","ENSG00000277722"
"NM_004544","NDUFA10 ","ENSG00000130414"
